9999	96	3	85	33	30	66	77	98	17	6	8	49	89	53
44	9999	67	93	89	43	53	94	81	63	11	62	98	86	11
29	35	9999	43	34	3	89	29	23	68	84	42	87	69	69
43	26	42	9999	5	29	54	25	8	29	0	5	51	66	1
29	87	84	26	9999	61	86	1	52	60	58	61	8	85	37
2	68	36	16	60	9999	22	21	69	4	59	76	89	18	77
67	1	82	97	52	2	9999	28	99	54	99	48	12	34	68
43	66	80	78	6	81	99	9999	76	9	78	96	2	68	99
13	20	28	31	65	43	6	81	9999	53	47	91	58	90	69
59	17	9	18	25	34	78	37	66	9999	37	20	48	65	54
20	32	15	64	66	14	61	38	80	84	9999	62	47	7	36
27	78	45	10	5	27	7	58	99	13	16	9999	78	86	51
21	75	75	55	77	73	33	66	50	0	1	47	9999	70	57
64	24	37	12	99	65	48	5	59	53	73	53	7	9999	67
51	43	50	21	1	56	80	24	39	0	63	53	48	26	9999
