9999	55	30	33	6	96	10	95	86	46	41	67	11	46	80	22	87	70
30	9999	18	41	36	16	76	56	45	29	76	95	74	31	74	11	28	57
42	50	9999	41	37	79	44	73	77	79	66	79	19	96	37	67	8	74
6	32	84	9999	56	87	37	69	76	29	1	5	22	31	31	36	53	90
59	87	68	43	9999	27	27	6	9	65	42	40	43	69	62	67	91	21
59	62	66	49	83	9999	9	85	69	20	94	52	17	26	78	94	96	5
85	46	2	22	91	99	9999	62	94	22	10	16	65	52	69	53	81	6
46	15	98	7	73	16	71	9999	93	77	51	35	38	57	2	34	30	15
10	4	88	55	25	21	84	38	9999	22	68	43	75	66	54	27	56	62
5	59	48	89	71	21	11	94	65	9999	49	92	36	77	80	21	25	85
96	29	72	31	29	41	40	4	27	22	9999	29	91	69	90	81	38	8
7	32	15	3	33	9	64	95	17	70	9	9999	66	8	59	26	52	9
7	76	46	73	77	34	76	98	18	20	21	85	9999	14	56	10	45	93
1	33	37	75	94	36	95	9	58	30	23	15	40	9999	16	94	16	99
77	63	54	80	11	9	63	98	23	4	10	45	84	87	9999	80	94	28
41	40	12	84	40	34	11	17	88	47	29	45	73	47	71	9999	90	76
16	47	37	74	70	62	31	25	3	22	99	34	20	63	55	7	9999	91
18	39	81	91	32	78	72	6	78	73	71	57	46	7	32	33	6	9999
