9999	75	60	21	0	86	79	62	7	8	2	10	48	26	89	72
1	9999	9	70	24	89	38	99	15	61	9	3	62	26	83	74
14	1	9999	45	27	42	15	12	88	78	97	75	76	40	65	14
94	82	98	9999	19	6	11	4	10	31	47	73	92	16	58	34
17	87	81	18	9999	30	65	87	47	30	73	53	16	47	99	98
21	78	95	51	21	9999	74	29	47	35	35	32	55	25	69	73
41	3	82	59	25	72	9999	96	66	43	74	39	96	49	26	30
50	47	43	88	30	0	17	9999	18	93	85	48	51	42	52	8
96	71	42	30	63	60	80	8	9999	18	27	49	35	72	88	48
23	98	40	67	97	35	16	21	29	9999	63	72	61	40	94	93
54	82	91	32	20	48	39	66	93	90	9999	85	34	15	56	68
71	60	27	21	47	31	2	21	17	28	70	9999	60	51	34	29
17	91	94	62	74	47	44	83	58	35	30	1	9999	41	68	20
60	68	16	28	88	40	36	24	7	38	97	91	60	9999	71	41
96	30	23	75	5	89	14	22	98	35	70	37	82	17	9999	94
52	32	0	99	69	55	22	83	58	11	67	40	86	19	9	9999
