9999	50	52	5	53	79	42	58	36	99	11	23	74
92	9999	11	6	87	62	55	73	69	64	95	4	95
11	7	9999	57	78	8	91	16	35	29	64	93	3
54	74	98	9999	14	85	18	84	48	84	3	89	6
35	31	80	89	9999	6	16	95	77	85	49	69	59
91	32	39	92	86	9999	66	82	49	9	19	72	12
47	92	39	6	95	28	9999	28	39	41	48	21	88
67	42	14	8	83	68	82	9999	61	22	20	29	84
30	57	87	48	53	18	89	49	9999	28	17	30	3
32	0	9	61	94	42	60	62	70	9999	86	15	51
6	18	46	61	70	92	68	53	38	85	9999	95	1
32	67	67	15	56	70	23	69	35	76	69	9999	57
43	71	72	24	6	49	83	78	55	91	20	33	9999
