9999	62	39	74	22	91	68	93	7	5	53	93	25	42
94	9999	67	21	69	70	73	28	5	78	84	53	94	94
45	25	9999	85	66	42	14	1	44	37	80	59	33	68
23	58	57	9999	27	70	37	33	12	46	17	31	94	7
79	7	25	83	9999	55	31	62	37	31	73	71	40	11
65	33	43	79	43	9999	35	62	56	41	22	72	57	96
46	78	2	84	86	61	9999	1	64	25	54	62	63	73
93	39	21	8	70	85	65	9999	72	39	46	33	59	49
20	68	30	1	58	43	61	12	9999	27	39	46	16	99
31	12	57	32	91	23	40	48	27	9999	38	55	20	11
82	49	30	60	62	97	59	98	41	82	9999	12	85	51
26	11	16	82	8	15	80	58	10	18	30	9999	19	82
51	97	66	51	95	90	65	4	21	23	0	51	9999	27
40	26	97	70	99	22	38	16	33	86	87	32	57	9999
