9999	87	11	62	2	3	89	74	27	30	15	28	0	21	50	12	24
46	9999	59	38	74	59	3	94	58	22	76	61	3	15	95	65	68
20	74	9999	15	3	37	55	83	59	13	79	19	79	68	74	78	59
55	1	97	9999	85	86	35	1	32	7	9	13	69	70	50	86	96
17	24	90	62	9999	8	83	18	18	3	43	42	60	28	59	32	84
29	96	21	38	70	9999	41	54	78	13	5	13	11	30	28	14	95
71	83	93	85	97	30	9999	9	57	47	13	88	83	6	34	92	45
7	15	96	41	58	57	85	9999	2	25	39	31	1	47	16	36	92
53	29	7	63	99	41	62	79	9999	90	52	93	40	83	68	58	17
81	4	62	68	86	87	94	20	81	9999	37	30	66	0	29	81	96
21	99	58	42	67	78	68	44	25	98	9999	63	3	83	32	0	32
33	74	54	59	3	2	0	82	20	5	87	9999	69	2	66	97	71
3	93	22	31	40	37	53	85	53	40	17	17	9999	77	74	54	14
71	3	89	71	57	97	55	19	33	53	36	92	14	9999	92	42	67
36	83	72	80	81	8	33	39	55	37	8	2	69	90	9999	29	92
73	78	82	19	62	92	14	86	67	63	17	18	43	18	51	9999	83
82	60	76	45	84	47	61	7	33	93	73	36	79	93	40	44	9999
